id,name,display_name,production_year,movie_sequel,creative_type,source,production_method,genre,language,board_rating_reason,movie_board_rating_display_name,movie_release_pattern_display_name,total,Category
7950115,Avatar,Avatar,2009,0,Science Fiction,Original Screenplay,Animation/Live Action,Action,English,"For intense epic battle sequences and warfare, sensuality, language and some smoking",PG-13,Wide,2784,9
50950115,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows: Part II,2011,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,for some sequences of intense action violence and frightening images.,PG-13,Wide,1328,9
119870115,Transformers 3,Transformers: Dark of the Moon,2011,1,Science Fiction,Based on TV,Animation/Live Action,Action,English,"for intense prolonged sequences of sci-fi action violence, mayhem and destruction, and for language, some sexuality and innuendo.",PG-13,Wide,1124,9
119590115,Toy Story 3,Toy Story 3,2010,1,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,General,G,Wide,1064,9
91700115,Pirates of the Caribbean 4,Pirates of the Caribbean: On Stranger Tides,2011,1,Fantasy,Based on Theme Park Ride,Live Action,Adventure,English,"for intense sequences of action/adventure violence, some frightening images, sensuality and innuendo.",PG-13,Wide,1044,9
3480115,Alice in Wonderland (2010),Alice in Wonderland,2010,0,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,"for fantasy action/violence involving scary images and situations, and for a smoking caterpillar",PG,Wide,1024,9
27870115,"Dark Knight, The",The Dark Knight,2008,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,for intense sequences of violence and some menace.,PG-13,Wide,1003,9
91710115,Pirates of the Caribbean: At Worlds End,Pirates of the Caribbean: At World's End,2007,1,Historical Fiction,Based on Theme Park Ride,Live Action,Adventure,English,for intense sequences of action/adventure violence and some frightening images,PG-13,Wide,961,9
50940115,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows: Part I,2010,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,"for some sequences of intense action violence, frightening images and brief sensuality.",PG-13,Wide,956,9
50990115,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,2007,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,for sequences of fantasy violence and frightening images,PG-13,Wide,943,9
50980115,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,2009,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,"for scary images, some violence, language and mild sensuality",PG,Wide,934,9
109870115,Spider-Man 3,Spider-Man 3,2007,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,English,for sequences of intense action violence,PG-13,Wide,891,9
56810115,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,2009,1,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,For some mild rude humor and peril,PG,Wide,887,9
119890115,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,2009,1,Science Fiction,Based on TV,Animation/Live Action,Action,English,"for intense sequences of sci-fi action violence, language, some crude and sexual material, and brief drug material",PG-13,Wide,837,9
58150115,Inception,Inception,2010,0,Science Fiction,Original Screenplay,Animation/Live Action,Thriller/Suspense,English,for sequences of violence and action throughout,PG-13,Wide,833,9
105940115,Shrek the Third,Shrek the Third,2007,1,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,English,"for some crude humor, suggestive content and swashbuckling action",PG,Wide,799,9
58390115,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008,1,Historical Fiction,Original Screenplay,Live Action,Adventure,English,for adventure violence and scary images.,PG-13,Wide,787,9
640115,2012,2012,2009,0,Science Fiction,Original Screenplay,Live Action,Action,English,for intense disaster sequences and some language,PG-13,Wide,767,9
105920115,Shrek Goes Fourth,Shrek Forever After,2010,1,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,English,"for mild action, some rude humor and brief language",PG,Wide,753,9
123280115,Up,Up,2009,0,Fantasy,Original Screenplay,Digital Animation,Adventure,English,for some peril and action,PG,Wide,732,8
83180115,New Moon,The Twilight Saga: New Moon,2009,1,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,For some violence and action,PG-13,Wide,710,8
136010115,Twilight Saga Breaking Dawn Part 1 The,"The Twilight Saga: Breaking Dawn, Part 1",2011,1,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,"for disturbing images, violence, sexuality/partial nudity and some thematic elements.",PG-13,Wide,710,8
119880115,"Transformers, The",Transformers,2007,0,Science Fiction,Based on TV,Animation/Live Action,Action,English,"for intense sequences of sci-fi action violence, brief sexual humor, and language",PG-13,Wide,708,8
154440115,Mission Impossible IV,Mission: Impossible - Ghost Protocol,2011,1,Contemporary Fiction,Original Screenplay,Live Action,Action,English,for sequences of intense action and violence.,PG-13,Expands Wide,695,8
34530115,Eclipse,The Twilight Saga: Eclipse,2010,1,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,"for intense sequences of action and violence, and some sensuality",PG-13,Wide,693,8
65380115,Kung Fu Panda 2,Kung Fu Panda 2,2011,1,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,for sequences of martial arts action and mild violence.,PG,Wide,665,8
142870115,Hunger Games The,The Hunger Games,2011,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,for intense violent thematic material and disturbing images - all involving teens.,PG-13,Wide,658,8
65370115,Kung Fu Panda,Kung Fu Panda,2008,0,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,for sequences of martial arts action,PG,Wide,632,8
135280115,Fast Five,Fast Five,2011,1,Contemporary Fiction,Based on Factual Book/Article,Live Action,Action,English,"for intense sequences of violence and action, sexual content and language.",PG-13,Wide,629,8
140990115,Men in Black 3,Men in Black 3,2011,1,Science Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Action,English,"for sci-fi action violence, and brief suggestive content.",PG-13,Wide,625,8
